operation,strategy,blockSize,fileSizeInBytes,durationInMs
WRITE,BlockByBlockWithBufferedStream,500,10485760,40
WRITE,BlockByBlockWithBufferedStream,50,10485760,53
WRITE,BlockByBlockWithBufferedStream,5,10485760,88
WRITE,ByteByByteWithBufferedStream,0,10485760,342
WRITE,BlockByBlockWithoutBufferedStream,500,10485760,163
WRITE,BlockByBlockWithoutBufferedStream,50,10485760,1724
WRITE,BlockByBlockWithoutBufferedStream,5,10485760,15259
WRITE,ByteByByteWithoutBufferedStream,0,10485760,70603
READ,BlockByBlockWithBufferedStream,500,10485760,20
READ,BlockByBlockWithBufferedStream,50,10485760,41
READ,BlockByBlockWithBufferedStream,5,10485760,91
READ,ByteByByteWithBufferedStream,0,10485760,132
READ,BlockByBlockWithoutBufferedStream,500,10485760,100
READ,BlockByBlockWithoutBufferedStream,50,10485760,1113
READ,BlockByBlockWithoutBufferedStream,5,10485760,11488
READ,ByteByByteWithoutBufferedStream,0,10485760,51503
